room,neighborhood,occupancy
G840,8-3,1.0
G842,8-3,1.0
G844,8-3,1.0
G846,8-3,1.0
G864,8-3,1.0
G866,8-3,1.0
G868,8-3,1.0
G870,8-3,1.0
G968,9-4,2.0
G972,9-4,1.0
G992,9-4,1.0
G994,9-4,1.0
G996,9-4,1.0
G982,9-4,6.0
G978B,9-4,5.0
G978A,9-4,6.0
G970A,9-4,
242,2-10,1.0
G533,5-2,1.0
G534,5-2,2.0
G535,5-2,1.0
G536,5-2,1.0
G535CA,5-2,1.0
G537,5-2,1.0
G538,5-2,2.0
G539,5-2,1.0
G540,5-2,1.0
G542,5-2,3.0
G535A,5-2,1.0
G564,5-2,1.0
G566,5-2,1.0
243,2-8,3.0
245,2-8,2.0
267,2-8,2.0
273,2-8,1.0
272,2-8,1.0
269,2-8,1.0
274,2-8,1.0
275C,2-8,1.0
275,2-8,1.0
275B,2-8,1.0
276,2-8,3.0
278,2-8,1.0
220,2-2,2.0
220A,2-2,1.0
222,2-2,1.0
221,2-2,1.0
224,2-2,9.0
226B,2-2,1.0
226,2-2,1.0
226A,2-2,1.0
227,2-2,1.0
225,2-2,1.0
D409,4-1,2.0
D410,4-1,1.0
D412,4-1,1.0
D414,4-1,2.0
D416,4-1,4.0
D408A,4-1,1.0
D424,4-1,1.0
D426,4-1,1.0
D428,4-1,1.0
D430,4-1,5.0
D432,4-1,1.0
D434,4-1,1.0
D433,4-1,1.0
D433A,4-1,1.0
D433B,4-1,1.0
277,2-13,4.0
380B,3-14,1.0
380,3-14,8.0
G504,5-1,3.0
G506,5-1,4.0
G508,5-1,1.0
G514,5-1,1.0
G515,5-1,1.0
G516,5-1,1.0
G517,5-1,1.0
G518,5-1,1.0
G519,5-1,1.0
G521,5-1,1.0
G521B,5-1,1.0
G522,5-1,2.0
G524,5-1,1.0
G526,5-1,1.0
G527,5-1,1.0
G528A,5-1,2.0
G528B,5-1,4.0
G530,5-1,3.0
G532,5-1,2.0
261,2-3,1.0
262,2-4,1.0
G631,6-2,1.0
G664,6-4,1.0
G666,6-4,1.0
G668,6-4,1.0
G670,6-4,4.0
G675,6-4,2.0
G675B,6-4,1.0
G678,6-4,2.0
G680,6-4,1.0
G682,6-4,1.0
G675A,6-4,1.0
G692,6-4,1.0
G694,6-4,1.0
G696,6-4,1.0
G698,6-4,1.0
G875A,8-4,2.0
G887,8-4,1.0
G885,8-4,4.0
G883,8-4,1.0
G884,8-4,2.0
G886,8-4,4.0
G890,8-4,2.0
G888,8-4,7.0
G882,8-5,2.0
240,2-9,1.0
339,3-10,1.0
344,3-11,2.0
342A,3-11,2.0
342,3-11,1.0
